level1_code,level1,level2_code,level2,manufacturing_other-manufacturing,mineral-extraction_rock-quarrying,agriculture_other-agricultural-soil-emissions,buildings_non-residential-onsite-fuel-usage,buildings_residential-onsite-fuel-usage,transportation_road-transportation-passenger,transportation_road-transportation-freight,transportation_railways,transportation_domestic-shipping,waste_solid-waste-disposal
01,北海道,01100,札幌市,"1,008 ",174 ,47 ,"3,824 ","4,744 ","1,249 ",725 ,115 ,0 ,168 
01,北海道,01202,函館市,349 ,22 ,22 ,454 ,606 ,203 ,123 ,14 ,232 ,32 
01,北海道,01203,小樽市,370 ,6 ,6 ,194 ,266 ,71 ,58 ,6 ,54 ,10 
01,北海道,01204,旭川市,377 ,31 ,45 ,604 ,769 ,276 ,182 ,19 ,0 ,16 
01,北海道,01205,室蘭市,838 ,11 ,1 ,149 ,191 ,67 ,40 ,5 ,40 ,12 
01,北海道,01206,釧路市,405 ,15 ,24 ,290 ,402 ,149 ,115 ,9 ,69 ,16 
01,北海道,01207,帯広市,280 ,19 ,51 ,339 ,389 ,162 ,122 ,10 ,0 ,15 
01,北海道,01208,北見市,164 ,13 ,59 ,204 ,267 ,109 ,98 ,7 ,0 ,11 
01,北海道,01209,夕張市,11 ,1 ,2 ,9 ,18 ,6 ,5 ,0 ,0 ,0 
01,北海道,01210,岩見沢市,142 ,7 ,37 ,122 ,177 ,66 ,59 ,5 ,0 ,12 
01,北海道,01211,網走市,96 ,3 ,33 ,63 ,78 ,32 ,31 ,2 ,4 ,0 
01,北海道,01212,留萌市,18 ,3 ,4 ,39 ,47 ,16 ,14 ,1 ,5 ,0 
01,北海道,01213,苫小牧市,"2,446 ",20 ,20 ,292 ,393 ,159 ,176 ,10 ,206 ,13 
01,北海道,01214,稚内市,112 ,5 ,18 ,59 ,75 ,28 ,30 ,2 ,40 ,0 
01,北海道,01215,美唄市,25 ,2 ,8 ,31 ,47 ,17 ,18 ,1 ,0 ,0 
01,北海道,01216,芦別市,30 ,1 ,9 ,15 ,30 ,10 ,9 ,1 ,0 ,0 
01,北海道,01217,江別市,151 ,7 ,20 ,139 ,257 ,88 ,49 ,7 ,0 ,19 
01,北海道,01218,赤平市,37 ,1 ,3 ,14 ,24 ,8 ,7 ,1 ,0 ,2 
01,北海道,01219,紋別市,172 ,2 ,12 ,35 ,50 ,19 ,21 ,1 ,3 ,3 
01,北海道,01220,士別市,26 ,3 ,20 ,29 ,39 ,16 ,20 ,1 ,0 ,0 
01,北海道,01221,名寄市,13 ,2 ,8 ,57 ,61 ,23 ,23 ,2 ,0 ,1 
01,北海道,01222,三笠市,26 ,1 ,5 ,12 ,20 ,6 ,6 ,0 ,0 ,0 
01,北海道,01223,根室市,94 ,2 ,20 ,38 ,53 ,22 ,25 ,1 ,3 ,6 
01,北海道,01224,千歳市,475 ,6 ,29 ,206 ,223 ,103 ,54 ,6 ,0 ,10 
01,北海道,01225,滝川市,22 ,4 ,5 ,66 ,91 ,33 ,25 ,2 ,0 ,6 
01,北海道,01226,砂川市,47 ,2 ,1 ,34 ,37 ,14 ,11 ,1 ,0 ,3 
01,北海道,01227,歌志内市,0 ,0 ,0 ,3 ,7 ,2 ,1 ,0 ,0 ,0 
01,北海道,01228,深川市,12 ,2 ,18 ,33 ,45 ,16 ,20 ,1 ,0 ,3 
01,北海道,01229,富良野市,12 ,2 ,23 ,39 ,45 ,19 ,23 ,1 ,0 ,0 
01,北海道,01230,登別市,38 ,4 ,2 ,57 ,104 ,39 ,23 ,3 ,0 ,8 
01,北海道,01231,恵庭市,269 ,4 ,16 ,96 ,151 ,57 ,33 ,4 ,0 ,6 
01,北海道,01233,伊達市,35 ,2 ,15 ,50 ,76 ,28 ,22 ,2 ,0 ,4 
01,北海道,01234,北広島市,182 ,4 ,6 ,94 ,122 ,50 ,52 ,3 ,0 ,0 
01,北海道,01235,石狩市,229 ,7 ,11 ,102 ,123 ,52 ,70 ,3 ,5 ,7 
01,北海道,01236,北斗市,124 ,5 ,9 ,62 ,96 ,41 ,37 ,3 ,0 ,2 
01,北海道,01303,当別町,47 ,1 ,12 ,22 ,33 ,14 ,15 ,1 ,0 ,0 
01,北海道,01304,新篠津村,0 ,0 ,5 ,4 ,6 ,3 ,6 ,0 ,0 ,0 
01,北海道,01331,松前町,8 ,1 ,3 ,8 ,16 ,5 ,4 ,0 ,1 ,1 
01,北海道,01332,福島町,5 ,1 ,1 ,4 ,8 ,3 ,3 ,0 ,0 ,0 
01,北海道,01333,知内町,11 ,0 ,4 ,4 ,9 ,4 ,5 ,0 ,0 ,0 
01,北海道,01334,木古内町,2 ,1 ,1 ,5 ,9 ,3 ,3 ,0 ,0 ,0 
01,北海道,01337,七飯町,40 ,2 ,7 ,30 ,61 ,25 ,22 ,2 ,0 ,2 
01,北海道,01343,鹿部町,22 ,0 ,1 ,4 ,8 ,3 ,5 ,0 ,0 ,0 
01,北海道,01345,森町,107 ,2 ,9 ,18 ,32 ,13 ,19 ,1 ,1 ,1 
01,北海道,01346,八雲町,73 ,2 ,15 ,23 ,35 ,14 ,19 ,1 ,0 ,1 
01,北海道,01347,長万部町,12 ,0 ,9 ,7 ,12 ,4 ,5 ,0 ,0 ,1 
01,北海道,01361,江差町,3 ,1 ,2 ,15 ,18 ,6 ,6 ,0 ,10 ,1 
01,北海道,01362,上ノ国町,5 ,1 ,5 ,4 ,10 ,4 ,4 ,0 ,0 ,0 
