entity_id,entity_name,entity_class,entity_class_name,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
10006,北海道,1,1: 都道府県,提出済,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2021.0,2030.0,10.0,第5期 道の事務・事業に関する実行計画,1.0,https://www.pref.hokkaido.lg.jp/kz/zcs/jikkoukeikaku.html,3.0,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,4.0,,2021.0,2030.0,10.0,北海道地球温暖化対策推進計画（第3次）[改定版],1.0,https://www.pref.hokkaido.lg.jp/kz/zcs/ontaikeikakukaitei.html,3.0,,1.0,2030.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,2.0,2024.0,2.0,,,,,,,,,,1.0,,HPでの情報提供
11002,札幌市,2,2: 政令指定都市,提出済,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2025.0,2020.0,2030.0,11.0,札幌市気候変動対策行動計画,1.0,https://www.city.sapporo.jp/kankyo/ondanka/kikouhendou_plan2020/index.html,3.0,,2016,726000,2030,292000,59.78,2023,627595,13.55,627696,13.54,2.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,4.0,2025.0,2020.0,2030.0,11.0,札幌市気候変動対策行動計画,1.0,https://www.city.sapporo.jp/kankyo/ondanka/kikouhendou_plan2020/index.html,3.0,,1.0,2030.0,2016.0,11933562.0,2022.0,10215115.0,14.4,2030.0,5370000.0,55.0,2.0,2.0,1.0,1.0,地域気候変動適応計画,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,4.0,,,,1.0,,,,,1.0,一定規模以上の施設の設置等に際し、環境影響評価等の手続きを定めるもの。,1.0,1.0,,,,
12025,函館市,3,3: 中核市,提出済,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2031.0,2022.0,2030.0,9.0,函館市環境配慮率先行動計画（�X）,1.0,http://www.city.hakodate.hokkaido.jp/docs/2014011000810/,1.0,函館圏公立大学広域連合,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,1.0,1.0,,1.0,省エネルギー化のための設備改修にかかる経費を光熱費の削減分で賄い，機器更新の支出を伴わずに熱源・空調設備および照明器具を更新し，省エネルギー化を実現することにより，更新した設備の安定運転および経費の削減を図る。,1.0,1.0,4.0,2031.0,2022.0,2030.0,9.0,第２次函館市地球温暖化対策実行計画（区域施策編）,1.0,https://www.city.hakodate.hokkaido.jp/docs/2023012300010/,3.0,,1.0,2030.0,,,,,,,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,5.0,,,,2.0,,,,,,,,,,,1.0,
12033,小樽市,6,5: 人口１０万人以上で、上記以外の市区町村,提出済,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2021.0,2030.0,10.0,第4次小樽市温暖化対策推進実行計画【事務事業編】,1.0,https://www.city.otaru.lg.jp/docs/2022022200068/,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,2.0,,1.0,1.0,3.0,,2023.0,2030.0,8.0,小樽市温暖化対策推進実行計画【区域施策編】,1.0,https://www.city.otaru.lg.jp/docs/2023091900026/,3.0,,1.0,2030.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,5.0,,,,2.0,,,,,,,,,,,1.0,
12041,旭川市,3,3: 中核市,提出済,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2024.0,2030.0,7.0,旭川市役所ゼロカーボン実行計画,1.0,https://www.city.asahikawa.hokkaido.jp/kurashi/271/299/305/d054640.html,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,1.0,,,2.0,,1.0,1.0,3.0,,2024.0,2030.0,7.0,旭川市地球温暖化対策実行計画,1.0,https://www.city.asahikawa.hokkaido.jp/kurashi/271/299/305/p005157.html,3.0,,1.0,2050.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,4.0,,,,2.0,,,,,,,,,,,1.0,
12050,室蘭市,7,6: 人口３万人以上１０万人未満の市区町村,提出済,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2023.0,2030.0,8.0,室蘭市地球温暖化対策実行計画（事務事業編）,1.0,https://www.city.muroran.lg.jp/main/org3300/ecoofficetop.html,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,1.0,,,2.0,,1.0,1.0,3.0,,2023.0,2030.0,8.0,室蘭市地球温暖化対策実行計画【区域施策編】,1.0,https://www.city.muroran.lg.jp/main/org3300/ontai-jikkoukeikaku.html,3.0,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,4.0,,,,2.0,,,,,,,,,,,1.0,
12068,釧路市,6,5: 人口１０万人以上で、上記以外の市区町村,提出済,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2022.0,2030.0,9.0,第5期釧路市地球温暖化防止実行計画,1.0,https://www.city.kushiro.lg.jp/machi/kankyou/1004257/1004260.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,1.0,,,2.0,,1.0,1.0,4.0,2025.0,2023.0,2030.0,8.0,第２次釧路市環境基本計画2021-2030【改定版】,1.0,https://www.city.kushiro.lg.jp/machi/kankyou/1004257/1014136.html,3.0,,2.0,,,,,,,,,,2.0,1.0,2.0,2.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,3.0,,,,1.0,1.0,,,,,,,,,,1.0,
12076,帯広市,6,5: 人口１０万人以上で、上記以外の市区町村,提出済,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2024.0,2021.0,2030.0,10.0,第４期帯広市エコオフィスプラン,1.0,https://www.city.obihiro.hokkaido.jp/kurashi/kankyo/kankobutsu/1003776.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,1.0,・とかちプラザにおいてESCO事業を導入し、環境負荷の低減、並びに光熱水費の効率的な削減を図っている。・事業期間：平成21年4月1日〜平成29年3月31日（契約期間満了後も導入した設備の維持管理をしながら取り組みを継続。）,1.0,1.0,3.0,,2024.0,2030.0,7.0,帯広市ゼロカーボン推進計画,1.0,https://www.city.obihiro.hokkaido.jp/kurashi/kankyo/1016912.html,3.0,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,3.0,,4.0,,,,2.0,,,,,,,,,,,1.0,
12084,北見市,6,5: 人口１０万人以上で、上記以外の市区町村,提出済,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2023.0,2030.0,8.0,北見市地球温暖化防止実行計画（事務事業編）,1.0,http://www.city.kitami.lg.jp/adminisutoration/life/detail.php?content=7919,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,1.0,,,2.0,,1.0,1.0,3.0,,2022.0,2030.0,9.0,北見市地球温暖化防止実行計画（区域施策編）,1.0,https://www.city.kitami.lg.jp/administration/town/detail.php?content=11639,3.0,,1.0,2030.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,2.0,,,,,,,,,,,1.0,
12092,夕張市,9,8: 人口１万人未満の市町村,提出済,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2024.0,2030.0,7.0,第5次夕張市地球温暖化対策実行計画,1.0,https://www.city.yubari.lg.jp/kurashi/gomirecyclekankyo/kankyohozen/index.html,3.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,,,,2.0,,,,,,,,,,,1.0,
