query_id,query,high_level_query,answer_format,topic,high_level_topic,is_level1,is_level2,is_union
1,地方公共団体の区分  ,地方公共団体の区分,"1. 都道府県
2. 政令指定都市
3. 中核市
4. 施行時特例市
5. 人口10万人以上であって、上記2〜4以外の市区町村
6. 人口3万人以上10万人未満の市区町村
7. 人口1万人以上3万人未満の市区町村
8. 人口1万人未満の市区町村
9. 地方公共団体の組合（一部事務組合及び広域連合）",（１）団体区分,０．基礎情報,1.0,1.0,1.0
2,組合の事務内容（内容選択・事務事業編対象） 事務内容 １.一般廃棄物処理（ごみ処理・リサイクル施設）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
3,組合の事務内容（内容選択・事務事業編対象） 事務内容 ２.一般廃棄物処理（し尿処理）,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
4,組合の事務内容（内容選択・事務事業編対象） 事務内容 ３.産業廃棄物処理,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
5,組合の事務内容（内容選択・事務事業編対象） 事務内容 ４.火葬・斎場・墓地等,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
6,組合の事務内容（内容選択・事務事業編対象） 事務内容 ５.その他環境衛生事業,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
7,組合の事務内容（内容選択・事務事業編対象） 事務内容 ６.上水道,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
8,組合の事務内容（内容選択・事務事業編対象） 事務内容 ７.下水道,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
9,組合の事務内容（内容選択・事務事業編対象） 事務内容 ８.用水,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
10,組合の事務内容（内容選択・事務事業編対象） 事務内容 ９.水防,組合の事務内容（内容選択・事務事業編対象）,"１.該当する
２.該当しない",（３）一部事務組合及び広域連合の事務内容,０．基礎情報,,,1.0
